ticker,fetch_date,trailingPE,forwardPE,priceToBook,priceToSales,enterpriseToEbitda,enterpriseToRevenue,profitMargins,operatingMargins,returnOnAssets,returnOnEquity,grossMargins,earningsGrowth,revenueGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,dividendYield,payoutRatio,marketCap,enterpriseValue,beta,averageVolume,52WeekChange,trailingEps,forwardEps,bookValue,sector,industry
ABBV,2025-12-16,169.7388,15.954842,-152.14047,6.7398505,15.76,7.8,0.04004,0.35497,0.09585,1.37961,0.71461,-0.887,0.091,-0.881,,0.725,0.468,3.1,4.9014997,401991630848,465212637184.0,0.349,5992430,0.2733493,1.34,14.25586,-1.495,Healthcare,Drug Manufacturers - General
AAPL,2025-12-16,36.743965,30.076895,54.920853,9.77482,28.381,9.871,0.26915002,0.31647,0.22964,1.7142199,0.46905,0.912,0.079,0.864,152.411,0.893,0.771,0.37,0.1367,4067898949632,4108026118144.0,1.107,48833154,0.097838044,7.46,9.11364,4.991,Technology,Consumer Electronics
ABT,2025-12-16,16.119198,22.636929,4.384193,5.0999427,19.49,5.222,0.3188,0.19395,0.067930005,0.3062,0.56259996,0.0,0.069,-0.001,25.31,1.703,1.088,1.88,0.2915,223596773376,228944871424.0,0.714,6261058,0.107423425,7.97,5.67524,29.303,Healthcare,Medical Devices
A,2025-12-16,30.765865,21.42927,5.9038424,5.7369256,23.408,5.953,0.18754,0.23804002,0.07524,0.20618999,0.52432,0.249,0.094,0.236,49.755,1.957,1.396,0.73,0.2171,39860158464,41362444288.0,1.274,1836772,0.023596644,4.57,6.56112,23.815,Healthcare,Diagnostics & Research
ABNB,2025-12-16,31.383335,27.349707,9.307959,6.756994,25.54,5.904,0.2203,0.39683,0.07475,0.30776,0.83036005,0.038,0.097,0.004,26.458,1.392,0.845,,0.0,80698777600,70516965376.0,1.118,4907256,-0.02911371,4.2,4.81943,14.161,Consumer Cyclical,Travel Services
ACN,2025-12-16,22.624382,18.42443,5.475132,2.4553668,13.751,2.412,0.11021,0.1522,0.111829996,0.25509,0.31914,-0.155,0.073,-0.161,25.38,1.42,1.301,2.4,0.48720002,171072716800,168071053312.0,1.261,4562819,-0.23996639,12.14,14.90738,50.165,Technology,Information Technology Services
ACGL,2025-12-16,8.805888,10.349171,1.5296355,1.8280023,6.913,1.773,0.20959,0.30691,0.03899,0.17811,0.35639,0.391,0.082,0.366,11.501,0.564,0.277,,0.0,35724648448,34647244800.0,0.447,2220061,0.03744614,10.87,9.24905,62.577,Financial Services,Insurance - Diversified
ADBE,2025-12-16,21.014364,13.348164,12.598213,6.266895,15.567,6.255,0.29997,0.36503,0.18221001,0.55426,0.89268,0.172,0.105,0.103,57.197,0.996,0.876,,0.0,148957822976,148684308480.0,1.54,4137485,-0.21703315,16.71,26.30699,27.873,Technology,Software - Application
ADI,2025-12-16,61.365425,24.915997,4.060817,12.461184,28.558,12.943,0.20575,0.30501,0.03891,0.06573,0.61467,0.661,0.259,0.648,26.5,2.19,1.568,1.41,0.8531,137318596608,142627340288.0,1.039,3647093,0.30633247,4.57,11.25542,69.06,Technology,Semiconductors
ADM,2025-12-16,24.471544,13.947971,1.2845956,0.34767395,14.752,0.447,0.01429,0.01949,0.0175,0.05242,0.062230002,4.891,0.022,5.0,40.467,1.372,0.369,3.39,0.82519996,28930297856,37160296448.0,0.686,3546211,0.16546905,2.46,4.31604,46.863,Consumer Defensive,Farm Products
