date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,momentum_score
2026-02-08,CASH,DEPOSIT,1.0,10000,10000.0,10000.0,10000.0,,
2026-02-08,WDC,BUY,259.46,1,259.46,9740.54,10000.0,momentum,
2026-02-08,AMCR,BUY,48.04,16,768.7,8971.84,10000.0,momentum,
2026-02-08,MU,BUY,365.98,1,365.98,8605.86,9999.94,momentum,
2026-02-08,WBD,BUY,27.01,55,1485.47,7120.39,9999.94,momentum,
2026-02-08,INTC,BUY,47.78,1,47.78,7072.61,10000.02,momentum,
2026-02-08,AMD,BUY,201.22,2,402.44,6670.17,10000.02,momentum,
2026-02-08,CAT,BUY,675.83,1,675.83,5994.34,10000.02,momentum,
2026-02-08,IVZ,BUY,26.19,1,26.19,5968.15,10000.02,momentum,
2026-02-08,NVDA,BUY,174.32,5,871.61,5096.54,10000.02,momentum,
2026-02-08,AVGO,BUY,297.8,2,595.6,4500.94,10000.01,momentum,
2026-02-08,GOOGL,BUY,331.83,3,995.48,3505.46,10000.01,momentum,
2026-02-09,CAT,BUY,675.83,1,675.83,2829.63,10000.02,momentum,
