date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,momentum_score
2025-12-21,CASH,DEPOSIT,1.0,10000,10000.0,10000.0,10000.0,,
2025-12-21,WDC,BUY,181.17,2,362.34,9637.66,10000.0,momentum,
2025-12-21,HOOD,BUY,121.41,3,364.23,9273.43,10000.0,momentum,
2025-12-21,STX,BUY,296.51,1,296.51,8976.92,10000.0,momentum,
2025-12-21,NEM,BUY,101.34,6,608.04,8368.88,10000.0,momentum,
2025-12-21,PLTR,BUY,193.48,2,386.95,7981.93,10000.0,momentum,
2025-12-21,WBD,BUY,27.78,25,694.6,7287.33,10000.01,momentum,
2025-12-21,APH,BUY,135.36,1,135.36,7151.97,9999.91,momentum,
2025-12-21,INTC,BUY,36.84,3,110.52,7041.45,9999.91,momentum,
2025-12-21,AMD,BUY,213.54,2,427.07,6614.38,9999.91,momentum,
2025-12-21,AVGO,BUY,340.53,1,340.53,6273.85,9999.92,momentum,
2025-12-21,GOOGL,BUY,307.31,2,614.63,5659.22,9999.92,momentum,
2025-12-21,CAT,BUY,576.51,1,576.51,5082.71,9999.91,momentum,
2025-12-21,PSKY,BUY,13.06,2,26.11,5056.6,9999.91,momentum,
2025-12-21,JNJ,BUY,206.47,7,1445.31,3611.29,9999.92,momentum,
