date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,momentum_score
2025-12-14,CASH,DEPOSIT,1.0,10000,10000.0,10000.0,10000.0,,
2025-12-14,SNDK,BUY,206.18,1,206.18,9793.82,10000.0,momentum,
2025-12-14,ORCL,BUY,189.97,2,379.94,9413.88,10000.0,momentum,
2025-12-14,HOOD,BUY,119.5,2,239.0,9174.88,10000.0,momentum,
2025-12-14,MOH,BUY,168.5,3,505.5,8669.38,10000.0,momentum,
2025-12-14,INTC,BUY,37.81,12,453.72,8215.66,10000.0,momentum,
2025-12-14,PSKY,BUY,13.74,32,439.68,7775.98,10000.0,momentum,
2025-12-14,ARE,BUY,46.64,13,606.32,7169.66,10000.0,momentum,
2025-12-14,AVGO,BUY,359.93,1,359.93,6809.73,10000.0,momentum,
2025-12-14,TTD,BUY,36.65,3,109.95,6699.78,10000.0,momentum,
2025-12-14,BAX,BUY,19.15,2,38.3,6661.48,10000.0,momentum,
2025-12-14,NFLX,BUY,95.19,8,761.52,5899.96,10000.0,momentum,
2025-12-14,META,BUY,644.23,1,644.23,5255.73,10000.0,momentum,
2025-12-14,NVDA,BUY,175.02,4,700.08,4555.65,10000.0,momentum,
