date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,momentum_score
2025-10-01,CASH,DEPOSIT,1.0,10000,10000.0,10000.0,10000.0,,
2025-10-01,AXON,BUY,711.34,1,711.34,9288.66,10000.0,momentum,0.8608
2025-10-01,AVGO,BUY,333.39,2,666.78,8621.88,10000.0,momentum,0.7429
2025-10-01,DASH,BUY,267.64,3,802.92,7818.96,10000.0,momentum,0.7102
2025-10-01,COIN,BUY,346.17,2,692.34,7126.62,10000.0,momentum,0.7038
2025-10-01,APH,BUY,124.66,6,747.96,6378.66,10000.0,momentum,0.6877
2025-10-01,CCL,BUY,28.36,29,822.44,5556.22,10000.0,momentum,0.6861
2025-10-01,DLTR,BUY,90.32,9,812.88,4743.34,10000.0,momentum,0.5835
2025-10-01,BA,BUY,215.2,3,645.6,4097.74,10000.0,momentum,0.5613
2025-10-01,C,BUY,98.12,8,785.0,3312.74,10000.0,momentum,0.5606
2025-10-01,COF,BUY,212.67,3,638.01,2674.73,10000.0,momentum,0.5093
2025-10-01,BK,BUY,106.31,7,744.14,1930.59,10000.0,momentum,0.4911
2025-10-01,CRWD,BUY,499.96,1,499.96,1430.63,10000.0,momentum,0.4743
2025-11-03,AXON,SELL,724.1,1,724.1,2154.73,10253.81,momentum,
2025-11-03,AVGO,SELL,362.55,2,725.1,2879.83,10253.81,momentum,
2025-11-03,DASH,SELL,242.05,3,726.15,3605.98,10253.81,momentum,
2025-11-03,COIN,SELL,330.42,2,660.84,4266.82,10253.81,momentum,
2025-11-03,APH,SELL,141.55,6,849.3,5116.12,10253.81,momentum,
2025-11-03,CCL,SELL,28.71,29,832.59,5948.71,10253.81,momentum,
2025-11-03,DLTR,SELL,100.85,9,907.65,6856.36,10253.81,momentum,
2025-11-03,BA,SELL,204.55,3,613.65,7470.01,10253.81,momentum,
2025-11-03,C,SELL,101.61,8,812.88,8282.89,10253.81,momentum,
2025-11-03,COF,SELL,220.86,3,662.58,8945.47,10253.81,momentum,
2025-11-03,BK,SELL,108.06,7,756.42,9701.89,10253.81,momentum,
2025-11-03,CRWD,SELL,551.92,1,551.92,10253.81,10253.81,momentum,
2025-11-03,COIN,BUY,330.42,2,660.84,9592.97,10253.81,momentum,1.1201
2025-11-03,AVGO,BUY,362.55,2,725.1,8867.87,10253.81,momentum,1.0127
2025-11-03,APH,BUY,141.55,6,849.3,8018.57,10253.81,momentum,0.8382
2025-11-03,DASH,BUY,242.05,3,726.15,7292.42,10253.81,momentum,0.7308
2025-11-03,AXON,BUY,724.1,1,724.1,6568.32,10253.81,momentum,0.6895
2025-11-03,CRWD,BUY,551.92,1,551.92,6016.4,10253.81,momentum,0.6501
2025-11-03,C,BUY,101.61,8,812.88,5203.52,10253.81,momentum,0.5699
2025-11-03,APTV,BUY,81.77,10,817.7,4385.82,10253.81,momentum,0.5481
2025-11-03,ANET,BUY,157.59,5,787.95,3597.87,10253.81,momentum,0.5061
2025-11-03,BA,BUY,204.55,4,818.2,2779.67,10253.81,momentum,0.4487
2025-11-03,CAH,BUY,190.22,4,760.88,2018.79,10253.81,momentum,0.4438
2025-11-03,BK,BUY,108.06,7,756.42,1262.37,10253.81,momentum,0.4388
2025-12-01,COIN,SELL,259.84,2,519.68,1782.05,9635.51,momentum,
2025-12-01,AVGO,SELL,386.08,2,772.16,2554.21,9635.51,momentum,
2025-12-01,APH,SELL,139.22,6,835.32,3389.53,9635.51,momentum,
2025-12-01,DASH,SELL,205.58,3,616.74,4006.27,9635.51,momentum,
2025-12-01,AXON,SELL,533.21,1,533.21,4539.48,9635.51,momentum,
2025-12-01,CRWD,SELL,504.13,1,504.13,5043.61,9635.51,momentum,
2025-12-01,C,SELL,102.68,8,821.44,5865.05,9635.51,momentum,
2025-12-01,APTV,SELL,76.94,10,769.4,6634.45,9635.51,momentum,
2025-12-01,ANET,SELL,128.11,5,640.55,7275.0,9635.51,momentum,
2025-12-01,BA,SELL,186.46,4,745.84,8020.84,9635.51,momentum,
2025-12-01,CAH,SELL,208.0,4,832.0,8852.84,9635.51,momentum,
2025-12-01,BK,SELL,111.81,7,782.67,9635.51,9635.51,momentum,
2025-12-01,AVGO,BUY,386.08,2,772.16,8863.35,9635.51,momentum,1.3809
2025-12-01,APH,BUY,139.22,5,696.1,8167.25,9635.51,momentum,0.9277
2025-12-01,APP,BUY,623.59,1,623.59,7543.66,9635.51,momentum,0.8889
2025-12-01,AMD,BUY,219.76,3,659.28,6884.38,9635.51,momentum,0.8705
2025-12-01,ANET,BUY,128.11,6,768.66,6115.72,9635.51,momentum,0.5754
2025-12-01,CAH,BUY,208.0,3,624.0,5491.72,9635.51,momentum,0.5703
2025-12-01,CRWD,BUY,504.13,1,504.13,4987.59,9635.51,momentum,0.5498
2025-12-01,CEG,BUY,359.05,2,718.1,4269.49,9635.51,momentum,0.5162
2025-12-01,CHRW,BUY,159.68,5,798.4,3471.08,9635.51,momentum,0.5066
2025-12-01,APTV,BUY,76.94,10,769.4,2701.68,9635.51,momentum,0.4791
2025-12-01,CAT,BUY,568.06,1,568.06,2133.62,9635.51,momentum,0.4663
2025-12-01,C,BUY,102.68,7,718.76,1414.86,9635.51,momentum,0.4594
