date,ticker,action,shares,price
2023-01-03,COIN,BUY,59,33.599998474121094
2023-01-03,MRNA,BUY,11,178.99000549316406
2023-01-03,TPL,BUY,2,677.3328857421875
2023-01-04,TSLA,BUY,17,113.63999938964844
2023-01-05,DDOG,BUY,31,63.5
2023-01-06,APP,BUY,205,9.720000267028809
2023-01-09,CRWD,BUY,20,96.56999969482422
2023-01-10,TSLA,SELL,17,118.8499984741211
2023-01-11,COIN,SELL,59,43.790000915527344
2023-01-12,GNRC,BUY,17,113.55000305175781
2023-02-03,APP,SELL,205,13.220000267028809
2023-02-03,DDOG,SELL,31,79.45999908447266
2023-02-03,GNRC,SELL,17,122.44000244140625
2023-02-03,MTCH,BUY,43,47.336910247802734
2023-02-07,APP,BUY,159,12.850000381469727
2023-02-09,XYZ,BUY,26,76.18000030517578
2023-02-09,COIN,BUY,34,59.630001068115234
2023-02-09,IFF,BUY,24,84.65155792236328
2023-02-09,PLTR,BUY,257,7.949999809265137
2023-02-09,TTD,BUY,41,49.880001068115234
2023-02-10,IFF,SELL,24,87.85751342773438
2023-02-15,COIN,SELL,34,69.33999633789062
2023-02-15,GNRC,BUY,15,135.22999572753906
2023-02-15,TTD,SELL,41,66.30000305175781
2023-02-16,APP,SELL,159,15.600000381469727
2023-02-17,APP,BUY,138,14.989999771118164
2023-02-17,DASH,BUY,33,61.810001373291016
2023-02-21,NDSN,BUY,10,205.33056640625
2023-02-22,AMD,BUY,26,76.61000061035156
2023-02-22,ALGN,BUY,6,302.7200012207031
2023-02-22,KEYS,BUY,12,159.72000122070312
2023-02-22,NDSN,SELL,10,214.17710876464844
2023-02-22,SWKS,BUY,20,101.09766387939453
2023-02-23,DPZ,BUY,6,296.06646728515625
2023-02-23,EPAM,BUY,6,311.739990234375
2023-02-23,ON,BUY,26,78.38999938964844
2023-02-24,COIN,BUY,35,58.439998626708984
2023-02-28,COIN,SELL,35,64.83000183105469
2023-02-28,NCLH,BUY,138,14.819999694824219
2023-03-02,COIN,BUY,32,63.70000076293945
2023-03-03,UHS,BUY,16,125.5126724243164
2023-03-06,TSLA,BUY,10,193.80999755859375
2023-03-09,CFG,BUY,64,31.463624954223633
2023-03-09,MTB,BUY,16,121.74867248535156
2023-03-10,ARE,BUY,18,110.5466079711914
2023-03-10,AMP,BUY,6,290.2273254394531
2023-03-10,APO,BUY,35,57.585697174072266
2023-03-10,BXP,BUY,41,48.8154411315918
2023-03-10,COF,BUY,21,93.68110656738281
2023-03-10,SCHW,BUY,35,56.367454528808594
2023-03-10,CHTR,BUY,6,329.489990234375
2023-03-10,FIS,BUY,37,53.42129898071289
2023-03-10,FITB,BUY,74,27.113784790039062
2023-03-10,GEN,BUY,128,15.679546356201172
2023-03-10,DOC,BUY,111,18.116851806640625
2023-03-10,KEY,BUY,150,13.40555477142334
2023-03-10,RJF,BUY,22,91.0704574584961
2023-03-10,TFC,BUY,60,33.34459686279297
2023-03-10,USB,BUY,56,35.55550003051758
2023-03-13,ABNB,BUY,17,115.95999908447266
2023-03-13,AIG,BUY,41,47.0784797668457
2023-03-13,BAC,BUY,74,26.52354621887207
2023-03-13,CINF,BUY,19,101.2125015258789
2023-03-13,COIN,SELL,32,59.16999816894531
2023-03-13,HIG,BUY,31,63.55887222290039
2023-03-13,HBAN,BUY,201,9.780632019042969
2023-03-13,IFF,BUY,25,77.45210266113281
2023-03-13,JKHY,BUY,14,136.2179718017578
2023-03-13,MET,BUY,36,54.11549377441406
2023-03-13,PNC,BUY,16,116.2598876953125
2023-03-13,PRU,BUY,27,71.66477966308594
2023-03-13,RF,BUY,118,16.606203079223633
2023-03-13,STT,BUY,29,67.33772277832031
2023-03-13,SYF,BUY,71,27.445363998413086
2023-03-13,WFC,BUY,55,35.74013137817383
2023-03-14,SCHW,SELL,35,54.42771530151367
2023-03-14,CFG,SELL,64,28.075233459472656
2023-03-14,FIS,SELL,37,49.780208587646484
2023-03-14,HBAN,SELL,201,9.719064712524414
2023-03-14,KEY,SELL,150,10.417984008789062
2023-03-14,STT,SELL,29,69.8593521118164
2023-03-14,TFC,SELL,60,27.369356155395508
2023-03-14,WFC,SELL,55,37.37779235839844
