date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,pnl
2025-10-01,TTD,BUY,49.31999969482422,20,986.8931938934326,9013.106806106567,10000.0,new_ml,0.0
2025-10-01,MRNA,BUY,27.600000381469727,36,994.0968137397765,8019.00999236679,10000.0,new_ml,0.0
2025-10-01,DOW,BUY,22.712587356567383,44,999.8535206108093,7019.156471755981,10000.0,new_ml,0.0
2025-10-01,REGN,BUY,599.188720703125,1,599.4883150634765,6419.668156692504,10000.0,new_ml,0.0
2025-10-01,LULU,BUY,177.57000732421875,5,888.2939616394043,5531.3741950531,10000.0,new_ml,0.0
2025-10-01,STZ,BUY,137.86793518066406,7,965.5580840377808,4565.81611101532,10000.0,new_ml,0.0
2025-10-01,LYB,BUY,47.06593704223633,21,988.8788702259063,3576.9372407894134,10000.0,new_ml,0.0
2025-10-01,TGT,BUY,88.0303726196289,11,968.8182658653259,2608.1189749240875,10000.0,new_ml,0.0
2025-10-01,BF-B,BUY,27.335721969604492,36,984.5780339012146,1623.540941022873,10000.0,new_ml,0.0
2025-10-01,ERIE,BUY,310.71539306640625,3,932.6122522888184,690.9286887340547,10000.0,new_ml,0.0
2025-10-02,LULU,SELL,178.1999969482422,5,890.5544847488404,1581.4831734828952,10130.946182935715,new_ml,2.704448127746673
2025-10-02,ERIE,SELL,313.2644348144531,3,939.3234077911377,2520.806581274033,10130.946182935715,new_ml,7.177228591918947
2025-10-02,ON,BUY,48.7400016784668,20,975.2874335861205,1545.5191476879122,10130.946182935715,new_ml,0.0
2025-10-02,ALGN,BUY,128.6999969482422,7,901.3504286270141,644.1687190608981,10130.946182935715,new_ml,0.0
2025-10-03,BF-B,SELL,27.75245475769043,36,998.5888270912171,1642.757546152115,10207.079371221542,new_ml,14.502836185455408
2025-10-03,ALGN,SELL,132.1699981689453,7,924.727392189026,2567.484938341141,10207.079371221542,new_ml,23.827413551330665
2025-10-03,LULU,BUY,175.58999633789062,5,878.3889566802978,1689.0959816608433,10207.079371221542,new_ml,0.0
2025-10-03,ZBRA,BUY,305.010009765625,3,915.4875443115234,773.60843734932,10207.079371221542,new_ml,0.0
2025-10-06,TGT,SELL,87.85261535644531,11,965.895579536438,1739.5040168857581,10134.890309144974,new_ml,-2.4385192794799195
2025-10-06,LULU,SELL,174.1199951171875,5,870.1646755981445,2609.6686924839028,10134.890309144974,new_ml,-7.785306091308598
2025-10-06,AES,BUY,14.090862274169922,71,1000.9514470767974,1608.7172454071053,10134.890309144974,new_ml,0.0
2025-10-06,ALGN,BUY,131.5,7,920.96025,687.7569954071054,10134.890309144974,new_ml,0.0
2025-10-07,ZBRA,SELL,296.6400146484375,3,889.4750839233399,1577.2320793304452,10052.208447662355,new_ml,-25.554945373535134
2025-10-07,AES,SELL,14.219228744506836,71,1009.0604582395554,2586.2925375700006,10052.208447662355,new_ml,8.60923677349092
2025-10-07,ALGN,SELL,130.47000122070312,7,912.8333635406494,3499.12590111065,10052.208447662355,new_ml,-7.6666364593505705
2025-10-07,MCHP,BUY,64.37931823730469,15,966.17261844635,2532.9532826643,10052.208447662355,new_ml,0.0
2025-10-07,APO,BUY,125.55776977539062,8,1004.9643892822265,1527.9888933820735,10052.208447662355,new_ml,0.0
2025-10-07,LVS,BUY,51.590213775634766,19,980.704168767929,547.2847246141445,10052.208447662355,new_ml,0.0
2025-10-08,STZ,SELL,141.64825439453125,7,991.042011871338,1538.3267364854823,10177.195498845102,new_ml,25.966465606689553
2025-10-08,MCHP,SELL,66.32179260253906,15,994.3294755935669,2532.6562120790495,10177.195498845102,new_ml,28.639702033996628
2025-10-08,APO,SELL,124.31265258789062,8,994.0039700927734,3526.660182171823,10177.195498845102,new_ml,-10.458188110351557
