date,value
2020-01-01,100000.0
2020-02-03,105202.79549980164
2020-03-02,101237.55466270447
2020-04-01,76378.71515083313
2020-05-01,93860.9981174469
2020-06-01,95153.18233394623
2020-07-01,98516.23884963989
2020-08-03,93245.16315460205
2020-09-01,103379.66752433777
2020-10-01,100646.67479419708
2020-11-02,92844.3383693695
2020-12-01,107146.67129325867
2021-01-01,103118.481092453
2021-02-01,106065.78994560242
2021-03-01,114224.6373462677
2021-04-01,76062.89714431763
2021-05-03,81312.32790756226
2021-06-01,82868.9783859253
2021-07-01,84464.41106414795
2021-08-02,84449.96124839783
2021-09-01,79435.42260360718
2021-10-01,81043.55669593811
2021-11-01,82643.4826259613
2021-12-01,75544.11836242676
2022-01-03,77509.59959220886
2022-02-01,75602.94438838959
2022-03-01,75948.85904884338
2022-04-01,82396.74188804626
2022-05-02,77691.42178535461
2022-06-01,83218.44577598572
2022-07-01,68581.58029937744
2022-08-01,73730.38822555542
2022-09-01,79369.781042099
2022-10-03,77369.32464408875
2022-11-01,88206.88853263855
2022-12-01,88998.00014686584
2023-01-02,83399.66796302795
2023-02-01,83286.10110092163
2023-03-01,85331.83088493347
2023-04-03,86703.07289123535
2023-05-01,85766.40633392334
2023-06-01,95075.65613174438
2023-07-03,91273.2477645874
2023-08-01,96386.48416519165
2023-09-01,94343.61281013489
2023-10-02,82310.89138031006
2023-11-01,80306.88893890381
2023-12-01,90071.71863555908
2024-01-01,97806.92710494995
2024-02-01,109073.01697540283
2024-03-01,128202.07953262329
2024-04-01,133465.94091796875
2024-05-01,106635.53281784058
2024-06-03,118329.75274467468
2024-07-01,112203.21083641052
2024-08-01,98962.83439826965
2024-09-02,104367.07766914368
2024-10-01,109778.83709907532
2024-11-01,113725.09323310852
2024-12-02,125447.69088363647
2025-01-01,95635.96824264526
2025-02-03,108306.16365814209
2025-03-03,94037.77230834961
2025-04-01,88777.50458145142
2025-05-01,91821.73540878296
2025-06-02,93482.19732666016
2025-07-01,91328.04875946045
2025-08-01,88018.78841400146
2025-09-01,85656.04000091553
2025-10-01,89285.76069641113
2025-11-03,81034.90606689453
2025-12-01,81350.27435684204
