date,year,return,value,n_features
2017-01-09,2017,0.018551934387380065,101855.19343873802,5
2017-01-23,2017,0.008335259922714767,102704.18295052828,5
2017-01-30,2017,0.03372562897927052,106167.9461193369,5
2017-02-06,2017,0.040932161388828124,110513.62962421401,5
2017-02-13,2017,-0.0022288004869415847,110267.31679269388,8
2017-02-27,2017,-0.027126344952068525,107276.16752043624,8
2017-03-06,2017,-0.0035152969155993197,106899.05993963433,8
2017-03-13,2017,0.004728106944679666,107404.49012731464,8
2017-03-20,2017,-0.03706043746387931,103424.03273761144,8
2017-03-27,2017,0.01670455231834551,105151.68490345115,8
2017-04-03,2017,-0.00427022291841167,104702.66376866683,8
2017-04-10,2017,-0.017111440880015018,102911.05032760919,8
2017-04-17,2017,0.015601835037349122,104516.65155834088,9
2017-04-24,2017,0.013565907622504958,105934.51479839487,9
2017-05-01,2017,-0.016984948553857716,104135.22251446625,9
2017-05-08,2017,-0.002441362370257316,103880.99070080106,9
2017-05-15,2017,-0.020570463215641988,101744.11060278577,9
2017-05-22,2017,0.0092485583901318,102685.09695054767,9
2017-06-05,2017,0.009916651470771675,103703.38926824863,9
2017-06-12,2017,-0.012066814764863432,102452.01967946015,9
2017-06-19,2017,0.012446754652979886,103727.21483211266,10
2017-06-26,2017,-0.01430310121647228,102243.59397946618,10
2017-07-03,2017,0.04571915256745842,106918.08445165868,10
2017-07-10,2017,0.019198976542931713,108970.80224706126,10
2017-07-17,2017,0.01810730374035089,110943.96966217853,10
2017-07-24,2017,-0.006234592520806948,110252.27921869408,10
2017-07-31,2017,-0.0023084588814137217,109997.76636553557,10
2017-08-07,2017,-0.024297199711866058,107325.12866829296,10
2017-08-14,2017,-0.015844945359454233,105624.56786884747,11
2017-08-21,2017,0.01537111179493963,107248.13490985171,11
2017-08-28,2017,0.018400896041136296,109221.59669093366,11
2017-09-11,2017,-0.027793884493868482,106185.90424826996,11
2017-09-18,2017,0.00752861983725156,106985.33755342997,6
2017-09-25,2017,0.034544317092977464,110681.0729781749,6
2017-10-02,2017,0.009991637535220343,111786.95814138209,6
2017-10-09,2017,0.009143856025455888,112809.12199215055,6
2017-10-16,2017,0.03276524657952138,116505.34069064268,2
2017-10-23,2017,0.005218318596136595,117113.30267651788,2
2017-10-30,2017,0.012597852331325599,118588.67876967049,2
2017-11-06,2017,-0.0019422894823652337,118358.34522616857,2
2017-11-13,2017,0.009225229797124635,119450.22815928739,3
2017-11-20,2017,0.015817753490396713,121339.66242268264,3
2017-11-27,2017,0.04127484757518017,126347.93849400266,3
2017-12-04,2017,0.02084504705098217,128981.66721670477,3
2017-12-11,2017,0.006776118997151215,129855.6623422161,9
2017-12-18,2017,0.023002703908993827,132842.69369398037,9
2018-01-08,2018,0.06438362308014371,141395.5876137246,9
2018-01-22,2018,0.03065742527170593,145730.41227474133,9
2018-01-29,2018,-0.03308255816336765,140909.27743449065,9
2018-02-05,2018,-0.02353413156773958,137593.09996023224,9
2018-02-12,2018,0.05775658492393897,145540.00752303342,9
2018-02-26,2018,-0.01908063940827399,142763.01112000894,9
2018-03-05,2018,0.02056794190350436,145699.35243869462,13
2018-03-12,2018,-0.004136804731039745,145096.62266821682,13
2018-03-19,2018,-0.03999700459737776,139293.19238429217,13
2018-03-26,2018,-0.0054816833330900375,138529.63121318628,13
2018-04-02,2018,-0.0023676844577656397,138201.63675842283,5
2018-04-09,2018,0.048044828811752496,144841.51073798526,5
2018-04-16,2018,0.016443271975090813,147223.17909233298,5
2018-04-23,2018,0.002848753769666068,147642.58167875448,5
2018-04-30,2018,0.010963285064527617,149261.22938936146,11
2018-05-07,2018,0.040109262809321714,155247.98726618182,11
2018-05-14,2018,0.006667515175983385,156283.10557731998,11
2018-05-21,2018,0.01017943828729192,157873.97980589065,11
2018-06-04,2018,0.036870427899870384,163694.86099558932,10
2018-06-11,2018,-0.0022890006354472025,163320.16335475096,10
2018-06-18,2018,-0.018298687801145196,160331.61867389033,10
2018-06-25,2018,0.0025965997611593905,160747.93571664527,10
2018-07-02,2018,0.01007100966786546,162366.82973133703,7
2018-07-09,2018,-0.0032474073814452776,161839.55848996562,7
2018-07-16,2018,0.0013496715519567882,162057.98873804076,7
2018-07-23,2018,-0.00249728977435536,161653.28297991265,7
2018-07-30,2018,0.04698133527779867,169247.97006634876,6
2018-08-06,2018,0.027080481097584118,173831.286520535,6
2018-08-13,2018,0.006117791568593855,174894.75009956816,6
2018-08-20,2018,0.010146174917899065,176669.26282630063,6
2018-08-27,2018,-0.016387999653758766,173774.0070082734,3
2018-09-10,2018,0.015740438495419406,176509.2860776897,3
2018-09-17,2018,0.012975019156921641,178799.49744592226,3
2018-09-24,2018,-0.0006858177386862452,178676.87357890565,3
2018-10-01,2018,-0.06070713642256794,167829.9122389931,12
2018-10-08,2018,-0.026951415163904424,163306.65859731834,12
2018-10-15,2018,-0.009822312556929525,161702.6095539477,12
2018-10-22,2018,-0.09366599138595025,146556.57432038197,12
2018-10-29,2018,0.09856787343393214,161002.34418890404,6
2018-11-05,2018,-0.0023048029398397563,160631.26551269635,6
2018-11-12,2018,-0.010338108356227005,158970.64208442823,6
2018-11-19,2018,0.0016924918101092312,159239.69859420395,6
2018-11-26,2018,0.03573565124307715,164930.23292721913,9
2018-12-03,2018,-0.07955854157439919,151808.62413400362,9
2018-12-10,2018,-0.01967142148647637,148822.33270338157,9
2018-12-17,2018,-0.045452810812970826,142057.93937026977,9
2018-12-24,2018,0.07529847744593857,152754.68591395856,8
2018-12-31,2018,0.05302580224946455,160854.6256819112,8
