date,horizons
2024-01-08,"{1: 15, 5: 11, 20: 15}"
2024-01-22,"{1: 15, 5: 12, 20: 14}"
2024-01-29,"{1: 15, 5: 10, 20: 13}"
2024-02-05,"{1: 14, 5: 9, 20: 15}"
2024-02-12,"{1: 15, 5: 9, 20: 12}"
2024-02-26,"{1: 15, 5: 10, 20: 15}"
2024-03-04,"{1: 14, 5: 11, 20: 15}"
2024-03-11,"{1: 14, 5: 12, 20: 13}"
2024-03-18,"{1: 13, 5: 15, 20: 14}"
2024-03-25,"{1: 11, 5: 8, 20: 11}"
2024-04-01,"{1: 12, 5: 9, 20: 14}"
2024-04-08,"{1: 14, 5: 10, 20: 15}"
2024-04-15,"{1: 14, 5: 9, 20: 14}"
2024-04-22,"{1: 11, 5: 13, 20: 15}"
2024-04-29,"{1: 15, 5: 13, 20: 13}"
2024-05-06,"{1: 13, 5: 9, 20: 13}"
2024-05-13,"{1: 14, 5: 10, 20: 13}"
2024-05-20,"{1: 11, 5: 9, 20: 13}"
2024-06-03,"{1: 13, 5: 14, 20: 13}"
2024-06-10,"{1: 12, 5: 9, 20: 12}"
2024-06-17,"{1: 12, 5: 8, 20: 15}"
2024-06-24,"{1: 13, 5: 10, 20: 14}"
2024-07-01,"{1: 14, 5: 11, 20: 11}"
2024-07-08,"{1: 13, 5: 14, 20: 13}"
2024-07-15,"{1: 15, 5: 13, 20: 13}"
2024-07-22,"{1: 13, 5: 12, 20: 14}"
2024-07-29,"{1: 13, 5: 8, 20: 15}"
2024-08-05,"{1: 14, 5: 9, 20: 13}"
2024-08-12,"{1: 14, 5: 7, 20: 13}"
2024-08-19,"{1: 11, 5: 9, 20: 13}"
2024-08-26,"{1: 13, 5: 8, 20: 12}"
2024-09-09,"{1: 14, 5: 9, 20: 15}"
2024-09-16,"{1: 14, 5: 9, 20: 8}"
2024-09-23,"{1: 13, 5: 14, 20: 13}"
2024-09-30,"{1: 15, 5: 10, 20: 11}"
2024-10-07,"{1: 15, 5: 11, 20: 12}"
2024-10-14,"{1: 14, 5: 10, 20: 14}"
2024-10-21,"{1: 13, 5: 12, 20: 12}"
2024-10-28,"{1: 15, 5: 12, 20: 14}"
2024-11-04,"{1: 15, 5: 8, 20: 15}"
2024-11-11,"{1: 13, 5: 11, 20: 13}"
2024-11-18,"{1: 15, 5: 9, 20: 14}"
2024-11-25,"{1: 14, 5: 9, 20: 15}"
2024-12-02,"{1: 14, 5: 11, 20: 14}"
2024-12-09,"{1: 15, 5: 9, 20: 14}"
2024-12-16,"{1: 15, 5: 8, 20: 14}"
2024-12-23,"{1: 14, 5: 12, 20: 12}"
2024-12-30,"{1: 15, 5: 9, 20: 13}"
2025-01-06,"{1: 14, 5: 9, 20: 14}"
2025-01-13,"{1: 11, 5: 10, 20: 13}"
2025-01-27,"{1: 13, 5: 9, 20: 13}"
2025-02-03,"{1: 14, 5: 10, 20: 15}"
2025-02-10,"{1: 12, 5: 8, 20: 14}"
2025-02-24,"{1: 15, 5: 11, 20: 14}"
2025-03-03,"{1: 13, 5: 8, 20: 15}"
2025-03-10,"{1: 12, 5: 10, 20: 15}"
2025-03-17,"{1: 14, 5: 10, 20: 13}"
2025-03-24,"{1: 12, 5: 7, 20: 15}"
2025-03-31,"{1: 15, 5: 11, 20: 14}"
2025-04-07,"{1: 15, 5: 10, 20: 13}"
2025-04-14,"{1: 15, 5: 9, 20: 14}"
2025-04-21,"{1: 14, 5: 8, 20: 11}"
2025-04-28,"{1: 15, 5: 9, 20: 11}"
2025-05-05,"{1: 15, 5: 10, 20: 12}"
2025-05-12,"{1: 15, 5: 11, 20: 11}"
2025-05-19,"{1: 15, 5: 8, 20: 14}"
2025-06-02,"{1: 15, 5: 14, 20: 11}"
2025-06-09,"{1: 14, 5: 8, 20: 15}"
2025-06-16,"{1: 15, 5: 9, 20: 14}"
2025-06-23,"{1: 14, 5: 9, 20: 13}"
2025-06-30,"{1: 15, 5: 13, 20: 14}"
2025-07-07,"{1: 15, 5: 10, 20: 15}"
2025-07-14,"{1: 15, 5: 9, 20: 13}"
2025-07-21,"{1: 13, 5: 10, 20: 14}"
2025-07-28,"{1: 15, 5: 14, 20: 11}"
2025-08-04,"{1: 15, 5: 15, 20: 13}"
2025-08-11,"{1: 15, 5: 10, 20: 13}"
2025-08-18,"{1: 15, 5: 9, 20: 14}"
2025-08-25,"{1: 15, 5: 8, 20: 15}"
2025-09-08,"{1: 15, 5: 11, 20: 13}"
2025-09-15,"{1: 15, 5: 10, 20: 13}"
2025-09-22,"{1: 15, 5: 10, 20: 14}"
2025-09-29,"{1: 15, 5: 13, 20: 10}"
2025-10-06,"{1: 15, 5: 9, 20: 14}"
2025-10-13,"{1: 12, 5: 11, 20: 12}"
2025-10-20,"{1: 15, 5: 11, 20: 14}"
2025-10-27,"{1: 12, 5: 10, 20: 13}"
2025-11-03,"{1: 15, 5: 8, 20: 12}"
2025-11-10,"{1: 15, 5: 10, 20: 13}"
2025-11-17,"{1: 15, 5: 6, 20: 13}"
2025-11-24,"{1: 15, 5: 11, 20: 13}"
2025-12-01,"{1: 15, 5: 12, 20: 13}"
