date,value
2024-01-08,100000.0
2024-01-22,94584.27127711153
2024-01-29,93408.30891564126
2024-02-05,92023.48081869904
2024-02-12,96543.63325078644
2024-02-26,95465.1403796487
2024-03-04,98633.01911121709
2024-03-11,98930.96959955548
2024-03-18,97759.96559290233
2024-03-25,97394.46125090637
2024-04-01,99058.61151075913
2024-04-08,96400.98001296417
2024-04-15,92878.90788048247
2024-04-22,87156.73320455744
2024-04-29,94030.68945294619
2024-05-06,94351.49944664017
2024-05-13,93181.68484646585
2024-05-20,95515.5256318193
2024-06-03,97541.27370380769
2024-06-10,96013.26783998814
2024-06-17,95794.42920433592
2024-06-24,94302.32719057065
2024-07-01,94584.79622443946
2024-07-08,97093.72406432664
2024-07-15,98927.83556573103
2024-07-22,94986.00399593747
2024-07-29,90045.67234935162
2024-08-05,70918.78265075378
2024-08-12,77046.39172019415
2024-08-19,83446.96606325441
2024-08-26,85663.46485404027
2024-09-09,78290.50089976666
2024-09-16,80975.79229970797
2024-09-23,82397.88300055247
2024-09-30,83315.68478446355
2024-10-07,82164.34949361169
2024-10-14,83504.43125815033
2024-10-21,81879.62107090566
2024-10-28,81246.6147960542
2024-11-04,74804.93709295867
2024-11-11,78201.08265975941
2024-11-18,72974.81473318227
2024-11-25,81572.81262650376
2024-12-02,81126.99766946555
2024-12-09,82612.65853417627
2024-12-16,74945.46232863331
2024-12-23,71305.38524605865
2024-12-30,70098.79899543575
2025-01-06,73671.26287498389
2025-01-13,67489.59806014417
2025-01-27,72857.64160263201
2025-02-03,69280.59212620584
2025-02-10,71371.77695554547
2025-02-24,73112.418345095
2025-03-03,68297.61547502325
2025-03-10,61674.82062754685
2025-03-17,60971.51334097097
2025-03-24,63838.496274532474
2025-03-31,57813.661046611865
2025-04-07,47557.57666351315
2025-04-14,51658.51672804433
2025-04-21,48044.75660176229
2025-04-28,55045.71060438304
2025-05-05,55428.83288609018
2025-05-12,60632.67788203756
2025-05-19,61349.140276448816
2025-06-02,61673.124719203035
2025-06-09,64255.37928917671
2025-06-16,61776.720504934965
2025-06-23,59652.762099865
2025-06-30,61920.81717620687
2025-07-07,63101.496522489906
2025-07-14,64338.39400619209
2025-07-21,65795.26472500195
2025-07-28,66282.21463367336
2025-08-04,60005.004956246245
2025-08-11,58884.38436232233
2025-08-18,62773.02756612487
2025-08-25,62855.2934149045
2025-09-08,61710.2101809685
2025-09-15,63003.49953898325
2025-09-22,62986.66559291075
2025-09-29,64643.15891292818
2025-10-06,65000.95924537866
2025-10-13,62262.92042995712
2025-10-20,61400.212362114966
2025-10-27,63376.37388705403
2025-11-03,61182.029174392155
2025-11-10,59147.312297232325
2025-11-17,56337.50389439325
2025-11-24,52573.04133297944
2025-12-01,54061.97872013391
2025-12-08,56588.07461573328
